country_name,country_code,movies
Latvia,LV,['Flow']
Germany,DE,['The Crow']
Paraguay,PY,['Do Not Enter']
United Kingdom,GB,"['The Substance', 'Classified', 'Gladiator', 'Canary Black', 'The Canterville Ghost', 'The Crow']"
Japan,JP,"[""My Hero Academia: You're Next""]"
Colombia,CO,['Dominique']
Spain,ES,"['Apocalypse Z: The Beginning of the End', 'The Platform 2', 'My Fault']"
Estonia,EE,['Azrael']
Canada,CA,"['The Canterville Ghost', 'Battle for the Western Front', 'Moana 2']"
Sweden,SE,['Let Go']
Indonesia,ID,['Kelas Bintang - Hot Moms']
United States of America,US,"['Venom: The Last Dance', 'Terrifier 3', 'The Wild Robot', 'Gladiator II', 'Deadpool & Wolverine', 'Red One', 'Transformers One', 'Classified', 'Alien: Romulus', 'Despicable Me 4', 'Arcadian', 'Cash Out', 'Venom', 'Inside Out 2', 'Venom: Let There Be Carnage', 'Gladiator', 'Azrael', 'Sing: Thriller', 'Joker: Folie à Deux', 'Canary Black', 'Take Cover', 'Dominique', 'Amityville: Where the Echo Lives', 'Beetlejuice Beetlejuice', 'Terrifier', 'Bad Boys: Ride or Die', ""Don't Move"", 'Wicked', 'My Old Ass', 'Moana 2', 'Bagman', 'Megalopolis', 'Terrifier 2', 'Time Cut', 'The Crow']"
Ireland,IE,['Arcadian']
Argentina,AR,['Do Not Enter']
China,CN,['Venom']
Russia,RU,['Whisper of the Witch']
Belgium,BE,['Flow']
France,FR,"['The Substance', 'The Count of Monte-Cristo', 'Survive', 'Freedom', 'Flow', 'The Crow']"
