actor_name,movies
Valeria Kot,['Whisper of the Witch']
Kristofer Hivju,['Red One']
Oksana Orlan,['Dominique']
Alexandria Rivera,['My Old Ass']
Paul Mescal,['Gladiator II']
Alba De Torrebruna,['Take Cover']
Jennifer Garner,['Deadpool & Wolverine']
Émilie Dequenne,['Survive']
Alexander Ludwig,['Bad Boys: Ride or Die']
Ski Carr,['Dominique']
Neil Linpow,['Bagman']
Gabriel Guevara,['My Fault']
Ayo Edebiri,['Inside Out 2']
Catherine O'Hara,[None]
Adela Perez,['Amityville: Where the Echo Lives']
Nik Coleman,['Take Cover']
David Howard Thornton,"['Terrifier 3', 'Terrifier', 'Terrifier 2']"
Vassili Schneider,['The Count of Monte-Cristo']
Caréll Vincent Rhoden,['Bagman']
Sigrid Johnson,['Let Go']
Maria Dizzia,['My Old Ass']
Tony Hale,['Inside Out 2']
Mădălina Bellariu Ion,['Take Cover']
Jaz Hutchins,['Canary Black']
José María Yázpik,['Apocalypse Z: The Beginning of the End']
Andreas Pietschmann,['Survive']
Riz Ahmed,['Venom']
Rosie Ede,['Alien: Romulus']
Saffron Burrows,['Canary Black']
Miranda Cosgrove,['Despicable Me 4']
Archie Renaux,['Alien: Romulus']
Boone Storm,['The Wild Robot']
Berta Vázquez,['Apocalypse Z: The Beginning of the End']
Viktor Orizu,['Alien: Romulus']
Jon Voight,['Megalopolis']
Vanessa Hudgens,['Bad Boys: Ride or Die']
Artyom Fadeev,['Whisper of the Witch']
Lior Raz,['Gladiator II']
Hala Finley,['Venom: The Last Dance']
Michelle Williams,"['Venom', 'Venom: Let There Be Carnage']"
Kelsey Asbille,"[""Don't Move""]"
Katherine Kelloway,['Sing: Thriller']
Imelda Staunton,['The Canterville Ghost']
Alice Eve,['Take Cover']
Nick Kellington,['Beetlejuice Beetlejuice']
Ariana Grande,['Wicked']
Michael Keaton,['Beetlejuice Beetlejuice']
Chris Hemsworth,['Transformers One']
Ariel Delgadillo,['Do Not Enter']
Connie Nielsen,"['Gladiator II', 'Gladiator']"
Mason Mecartea,['Terrifier 3']
Sofya Shidlovskaya,['Whisper of the Witch']
Steve Buscemi,['Transformers One']
FKA twigs,['The Crow']
Peggy Lu,[None]
Stephanie Hsu,['The Wild Robot']
Kirsty Bartolo,['Classified']
Lauren LaVera,[None]
Derek Jacobi,[None]
Bonnie Hunt,['Red One']
Nicole Scherzinger,['Moana 2']
Richard Harris,['Gladiator']
Eric Hayes,['Sing: Thriller']
Phyllis Smith,['Inside Out 2']
Skye Little Wing Dimova-Saw,"[""Don't Move""]"
Tone Danielsen,['Let Go']
Yaiza Macías,['Apocalypse Z: The Beginning of the End']
Eero Milonoff,['Azrael']
Jon Favreau,['Deadpool & Wolverine']
Óscar Jaenada,['The Platform 2']
Tasha Smith,['Bad Boys: Ride or Die']
Juno Temple,['Venom: The Last Dance']
Alain Goulem,['My Old Ass']
Megan Best,['Time Cut']
Mariano Venancio,['My Fault']
Michelle Yeoh,['Wicked']
Lady Gaga,['Joker: Folie à Deux']
Gore Abrams,['The Substance']
Pierre Coffin,['Despicable Me 4']
Woody Harrelson,"['Venom', 'Venom: Let There Be Carnage']"
Armando Buika,['The Platform 2']
Quavo,['Cash Out']
Víctor Varona,['My Fault']
Anamaria Vartolomei,['The Count of Monte-Cristo']
Mamoru Miyano,"[""My Hero Academia: You're Next""]"
Melanie Liburd,['Bad Boys: Ride or Die']
David Schofield,['Gladiator']
Sam Biskey,['Battle for the Western Front']
Mark Hamill,['The Wild Robot']
Daniel Francis,"[""Don't Move""]"
Lisa Delamar,['Survive']
Jenny Slate,['Venom']
Connie Nielsen,[None]
Johnath Davis,['Terrifier 2']
Kirill Rusin,['Whisper of the Witch']
María Salgueiro,['Apocalypse Z: The Beginning of the End']
Lilimar,['Inside Out 2']
Igor Grabuzov,['Whisper of the Witch']
Alanna Ubach,['Venom: The Last Dance']
Kim DeLonghi,['Classified']
Daniel Louis Rivas,['Cash Out']
Alexa Blair Robertson,['Terrifier 3']
Joel Cohen,['Cash Out']
Derek Jacobi,"['Gladiator II', 'Gladiator']"
Peter Christoffersen,['Azrael']
Hector De Alva,['Amityville: Where the Echo Lives']
Nathan Stewart-Jarrett,['Azrael']
Mario González Martí,['Do Not Enter']
Denzel Washington,['Gladiator II']
Aubrey Plaza,[None]
Julian Seguin,['Battle for the Western Front']
Ray Stevenson,['Canary Black']
Somerville Black,['Battle for the Western Front']
Ivan Massagué,"['The Platform 2', 'My Fault']"
Casey Hartnett,['Terrifier 2']
Nicole Wallace,['My Fault']
Lucy Liu,['Red One']
Maya Hawke,['Inside Out 2']
Arben Bajraktaraj,['Survive']
Maurice Compte,['Dominique']
Aaron Eckhart,['Classified']
Sebastian Orozco,['The Crow']
Leslie Uggams,['Deadpool & Wolverine']
Aaron Huggett,['Battle for the Western Front']
Catherine Corcoran,['Terrifier']
Michael Lake,['Battle for the Western Front']
Spike Fearn,['Alien: Romulus']
Sam Claflin,['Bagman']
Laurence Fishburne,"['Transformers One', 'Megalopolis']"
Marc Cabourdin,['Classified']
Iván Sánchez,['My Fault']
Peter Mensah,['Gladiator II']
Madison Polan,['Despicable Me 4']
Freddie Highmore,['The Canterville Ghost']
Iria del Río,['Apocalypse Z: The Beginning of the End']
