keyword,movies
serial killer,"['Terrifier 3', 'Time Cut']"
halloween,[None]
crow,['The Crow']
musical,"['Joker: Folie à Deux', 'Wicked', 'Moana 2']"
cruel,['The Count of Monte-Cristo']
kids,"['The Wild Robot', 'Despicable Me 4']"
sea,['Moana 2']
psychopath,['Venom: Let There Be Carnage']
bloody,['Terrifier 3']
alien encounter,['Alien: Romulus']
brothers-in-arms relationship,['Transformers One']
madness,['Joker: Folie à Deux']
angel,['Terrifier 3']
condescending,['Terrifier 2']
first time,['My Fault']
based on play or musical,['Wicked']
hero,[None]
cheerful,['The Count of Monte-Cristo']
bounty hunter,['Red One']
prisoner abuse,['Joker: Folie à Deux']
car,['My Fault']
supernatural power,['Terrifier 3']
1980s,['Joker: Folie à Deux']
cat,"['Apocalypse Z: The Beginning of the End', 'Flow']"
anti hero,[None]
female friendship,['Wicked']
killer clown,[None]
stepbrother,['My Fault']
evil clown,[None]
sequel,[None]
sequel,[None]
gore,[None]
boat,['Flow']
megaslasher,[None]
oz,['Wicked']
ghost,"['Beetlejuice Beetlejuice', 'The Canterville Ghost']"
bank heist,['Cash Out']
post apocalypse,['Arcadian']
disheartening,"[""Don't Move""]"
halloween,"['Terrifier', 'The Canterville Ghost', 'Terrifier 2']"
marvel cinematic universe (mcu),['Deadpool & Wolverine']
high school,['Time Cut']
count,['The Count of Monte-Cristo']
haunted house,['Beetlejuice Beetlejuice']
time travel,[None]
arena,['Gladiator']
villain,[None]
angry,[None]
post-traumatic stress disorder (ptsd),['Terrifier 3']
sequel,[None]
genetic experiment,['Venom']
ambiguous,"['Transformers One', 'Alien: Romulus']"
metropolis,['Megalopolis']
back from the dead,['The Crow']
venom character,['Venom: Let There Be Carnage']
assassin,['Dominique']
disturbed,['My Fault']
police,"['Cash Out', 'Dominique']"
space capsule,['Alien: Romulus']
gore,[None]
mental illness,[None]
contagion spread,['Apocalypse Z: The Beginning of the End']
based on short,"['Sing: Thriller', 'Terrifier']"
female protagonist,"['The Substance', 'My Fault']"
hot,['Kelas Bintang - Hot Moms']
mall santa,['Terrifier 3']
superhero,[None]
kids,[None]
christmas,[None]
parent child relationship,['Gladiator']
holiday,['Red One']
superhero,[None]
after disaster,['Megalopolis']
"san francisco, california",['Venom']
sacrifice,['Azrael']
based on toy,['Transformers One']
body horror,['The Substance']
mental asylum,['Terrifier 3']
based on comic strip,['The Crow']
emperor,['Gladiator']
survival,[None]
killer clown,"['Terrifier 3', 'Terrifier', 'Terrifier 2']"
symbiote,"['Venom', 'Venom: Let There Be Carnage']"
polar bear,['Red One']
afterlife,['Beetlejuice Beetlejuice']
alien life-form,"['Venom: The Last Dance', 'Alien: Romulus', 'Venom']"
teenage girl,[None]
casual,['Venom: Let There Be Carnage']
emotions,['Inside Out 2']
christmas,"['Terrifier 3', 'Red One']"
musical,[None]
soulmates,['The Crow']
spacecraft,['Venom']
new england,['Beetlejuice Beetlejuice']
low budget,['Terrifier 3']
